(0, 0, 0, 100)
(0, 0, 5, 95)
(0, 0, 10, 90)
(0, 0, 15, 85)
(0, 0, 20, 80)
(0, 0, 25, 75)
(0, 0, 30, 70)
(0, 0, 35, 65)
(0, 0, 40, 60)
(0, 0, 45, 55)
(0, 0, 50, 50)
(0, 5, 5, 90)
(0, 5, 10, 85)
(0, 5, 15, 80)
(0, 5, 20, 75)
(0, 5, 25, 70)
(0, 5, 30, 65)
(0, 5, 35, 60)
(0, 5, 40, 55)
(0, 5, 45, 50)
(0, 10, 10, 80)
(0, 10, 15, 75)
(0, 10, 20, 70)
(0, 10, 25, 65)
(0, 10, 30, 60)
(0, 10, 35, 55)
(0, 10, 40, 50)
(0, 10, 45, 45)
(0, 15, 15, 70)
(0, 15, 20, 65)
(0, 15, 25, 60)
(0, 15, 30, 55)
(0, 15, 35, 50)
(0, 15, 40, 45)
(0, 20, 20, 60)
(0, 20, 25, 55)
(0, 20, 30, 50)
(0, 20, 35, 45)
(0, 20, 40, 40)
(0, 25, 25, 50)
(0, 25, 30, 45)
(0, 25, 35, 40)
(0, 30, 30, 40)
(0, 30, 35, 35)
(5, 5, 5, 85)
(5, 5, 10, 80)
(5, 5, 15, 75)
(5, 5, 20, 70)
(5, 5, 25, 65)
(5, 5, 30, 60)
(5, 5, 35, 55)
(5, 5, 40, 50)
(5, 5, 45, 45)
(5, 10, 10, 75)
(5, 10, 15, 70)
(5, 10, 20, 65)
(5, 10, 25, 60)
(5, 10, 30, 55)
(5, 10, 35, 50)
(5, 10, 40, 45)
(5, 15, 15, 65)
(5, 15, 20, 60)
(5, 15, 25, 55)
(5, 15, 30, 50)
(5, 15, 35, 45)
(5, 15, 40, 40)
(5, 20, 20, 55)
(5, 20, 25, 50)
(5, 20, 30, 45)
(5, 20, 35, 40)
(5, 25, 25, 45)
(5, 25, 30, 40)
(5, 25, 35, 35)
(5, 30, 30, 35)
(10, 10, 10, 70)
(10, 10, 15, 65)
(10, 10, 20, 60)
(10, 10, 25, 55)
(10, 10, 30, 50)
(10, 10, 35, 45)
(10, 10, 40, 40)
(10, 15, 15, 60)
(10, 15, 20, 55)
(10, 15, 25, 50)
(10, 15, 30, 45)
(10, 15, 35, 40)
(10, 20, 20, 50)
(10, 20, 25, 45)
(10, 20, 30, 40)
(10, 20, 35, 35)
(10, 25, 25, 40)
(10, 25, 30, 35)
(10, 30, 30, 30)
(15, 15, 15, 55)
(15, 15, 20, 50)
(15, 15, 25, 45)
(15, 15, 30, 40)
(15, 15, 35, 35)
(15, 20, 20, 45)
(15, 20, 25, 40)
(15, 20, 30, 35)
(15, 25, 25, 35)
(15, 25, 30, 30)
(20, 20, 20, 40)
(20, 20, 25, 35)
(20, 20, 30, 30)
(20, 25, 25, 30)
(25, 25, 25, 25)
